Employee ID,Job Type,Location,Hire_Date,Termination_Date
9002272,Correctional,Alpha,11/1/2015,5/2/2018
9003695,Correctional,Delta,4/1/2018,5/2/2018
9002167,Correctional,Epsilon,12/1/2010,5/3/2018
9002738,Educator,Epsilon,3/16/2015,5/3/2018
9003473,Program Specialist,Delta,11/1/2017,5/3/2018
9002537,Analyst,Administrative Offices,1/1/2018,5/6/2018
9003610,Correctional,Gamma,2/1/2018,5/7/2018
9003642,Correctional,Alpha,3/1/2018,5/7/2018
9001661,Correctional,Epsilon,3/1/2015,5/8/2018
9003139,Correctional,Gamma,2/15/2018,5/8/2018
9003652,Other,Alpha,3/1/2018,5/8/2018
9003313,Investigator,Inspector General,5/15/2017,5/9/2018
9003601,Correctional,Delta,2/1/2018,5/10/2018
9003154,Correctional,Gamma,10/1/2016,5/11/2018
9003303,Correctional,Gamma,5/1/2017,5/15/2018
9003455,Correctional,Delta,10/16/2017,5/16/2018
9003701,Correctional,Alpha,4/1/2018,5/16/2018
9003698,Correctional,Alpha,4/1/2018,5/20/2018
9003036,Other,Beta,9/15/2016,5/21/2018
9003366,Educator,Epsilon,8/1/2017,5/21/2018
9003689,Correctional,Epsilon,4/1/2018,5/23/2018
9002224,Program Specialist,Administrative Offices,11/1/2017,5/24/2018
9001715,Correctional,Epsilon,6/27/2005,5/25/2018
9003057,Correctional,Gamma,6/1/2016,5/27/2018
9001028,Admin Assistant,Halfway House,1/15/1999,5/31/2018
9001105,Correctional,Alpha,8/1/1997,5/31/2018
9001318,Program Specialist,Administrative Offices,12/1/1994,5/31/2018
9001529,Correctional,Halfway House,2/1/2002,5/31/2018
9001586,Correctional,Gamma,5/1/2007,5/31/2018
9001704,Correctional,Beta,9/1/2010,5/31/2018
9002078,Other,Halfway House,11/16/2009,5/31/2018
9002298,Correctional,Gamma,7/1/2015,5/31/2018
9002578,Correctional,Alpha,7/1/2014,5/31/2018
9002592,Educator,Beta,8/1/2014,5/31/2018
9002724,Correctional,Gamma,11/1/2017,5/31/2018
9002849,Correctional,Gamma,9/15/2015,5/31/2018
9002856,Correctional Supervisor,Alpha,10/1/2015,5/31/2018
9003074,Correctional,Halfway House,6/15/2016,5/31/2018
9003282,Correctional,Alpha,4/1/2017,5/31/2018
9003492,Correctional,Gamma,11/1/2017,5/31/2018
9003598,Correctional,Alpha,2/1/2018,5/31/2018
9003603,Correctional,Epsilon,2/1/2018,5/31/2018
9003639,Correctional,Alpha,3/1/2018,5/31/2018
9003641,Correctional,Alpha,3/1/2018,5/31/2018
9001754,Case Manager,Gamma,5/15/2015,6/1/2018
9002539,Program Specialist,Epsilon,5/1/2014,6/1/2018
9003612,Correctional,Epsilon,2/1/2018,6/1/2018
9001167,Case Manager,Epsilon,11/1/2014,6/4/2018
9003669,Correctional,Delta,3/15/2018,6/4/2018
9003195,Correctional,Delta,12/1/2016,6/6/2018
9003546,Correctional,Delta,12/1/2017,6/7/2018
9002567,Educator,Alpha,6/1/2014,6/8/2018
9003623,Correctional,Gamma,2/15/2018,6/9/2018
9002080,Admin Assistant,Administrative Offices,12/1/2009,6/10/2018
9002430,Director,Administrative Offices,6/20/2013,6/10/2018
9002890,Correctional,Beta,11/1/2015,6/10/2018
9003426,Program Specialist,Administrative Offices,10/1/2017,6/10/2018
9003602,Correctional,Epsilon,2/1/2018,6/12/2018
9003263,Correctional,Delta,3/1/2017,6/13/2018
9003230,IT,Gamma,1/17/2017,6/14/2018
9003686,Correctional,Halfway House,4/1/2018,6/14/2018
9002554,Auditor,Administrative Offices,4/1/2018,6/15/2018
9003483,Correctional,Epsilon,11/1/2017,6/17/2018
9002604,Attorney,Administrative Offices,8/15/2014,6/18/2018
9003172,Program Specialist,Parole Region,11/1/2016,6/18/2018
9002936,Correctional,Alpha,5/1/2018,6/20/2018
9001232,Clerk,Gamma,1/15/2014,6/22/2018
9002752,Correctional,Alpha,4/1/2015,6/22/2018
9003004,Program Specialist,Administrative Offices,4/1/2016,6/23/2018
9003446,Correctional,Beta,10/1/2017,6/25/2018
9003157,Correctional,Gamma,10/1/2016,6/26/2018
9003638,Correctional,Halfway House,3/1/2018,6/28/2018
9001020,Program Specialist,Administrative Offices,3/14/1988,6/30/2018
9001047,Case Manager,Epsilon,6/18/1990,6/30/2018
9001146,Case Manager,Delta,6/3/1996,6/30/2018
9001177,Other,Epsilon,6/15/1998,6/30/2018
9001301,Parole,Parole Region,9/1/1995,6/30/2018
9001504,Clerk,Epsilon,7/1/2015,6/30/2018
9001531,Facility Leadership,Gamma,1/1/2014,6/30/2018
9001716,Correctional,Epsilon,7/1/2005,6/30/2018
9001787,Correctional,Delta,6/15/2006,6/30/2018
9001867,Other,Epsilon,5/1/2014,6/30/2018
9002042,Correctional,Halfway House,1/15/2009,6/30/2018
9002563,Program Specialist,Alpha,6/1/2014,6/30/2018
9002669,Attorney,Administrative Offices,11/17/2014,6/30/2018
9002692,Program Specialist,Epsilon,1/1/2015,6/30/2018
9002747,Case Manager,Epsilon,4/1/2015,6/30/2018
9002824,Correctional,Gamma,3/1/2018,6/30/2018
9002865,Correctional,Delta,10/1/2015,6/30/2018
9003429,Correctional,Delta,10/1/2017,6/30/2018
9003489,Case Manager,Beta,11/1/2017,6/30/2018
9003532,Correctional,Alpha,12/1/2017,6/30/2018
9003593,Correctional,Alpha,2/1/2018,6/30/2018
9003618,Correctional,Gamma,2/15/2018,6/30/2018
9003699,Correctional,Alpha,4/1/2018,6/30/2018
9003347,Correctional,Epsilon,7/17/2017,7/2/2018
9001160,Correctional,Delta,2/16/2010,7/3/2018
9001685,Correctional,Epsilon,1/18/2005,7/5/2018
9003697,Correctional,Alpha,4/1/2018,7/5/2018
9002449,Other,Delta,8/1/2013,7/6/2018
9001184,Correctional,Epsilon,5/1/2003,7/8/2018
9002366,Correctional,Epsilon,11/1/2012,7/9/2018
9003126,Correctional,Gamma,9/1/2016,7/9/2018
9002846,Program Specialist,Delta,9/1/2015,7/10/2018
9003122,Correctional,Delta,9/1/2016,7/10/2018
9003749,Correctional,Delta,5/15/2018,7/10/2018
9003785,Correctional,Beta,6/1/2018,7/10/2018
9002972,Admin Assistant,Epsilon,2/1/2016,7/11/2018
9002437,Correctional,Delta,7/1/2013,7/12/2018
9003337,Correctional,Delta,3/15/2018,7/12/2018
9002096,Correctional,Alpha,11/1/2017,7/13/2018
9003578,Correctional,Delta,1/1/2018,7/14/2018
9003734,Correctional,Beta,5/1/2018,7/14/2018
9001347,Director,Administrative Offices,11/15/2012,7/16/2018
9003256,Correctional,Beta,4/16/2018,7/16/2018
9003764,Correctional,Epsilon,6/1/2018,7/16/2018
9003466,Correctional,Delta,10/16/2017,7/17/2018
9003753,Correctional,Epsilon,5/15/2018,7/17/2018
9002989,Correctional Supervisor,Gamma,3/1/2016,7/19/2018
9003710,Correctional,Delta,4/16/2018,7/19/2018
9003768,Correctional,Beta,6/1/2018,7/19/2018
9003702,Correctional,Halfway House,4/1/2018,7/20/2018
9003748,Correctional,Gamma,5/15/2018,7/21/2018
9003648,Correctional,Halfway House,3/1/2018,7/22/2018
9003760,Correctional,Alpha,5/15/2018,7/22/2018
9003204,Case Manager,Alpha,12/1/2016,7/23/2018
9002442,Correctional,Delta,7/15/2013,7/24/2018
9003730,Correctional,Alpha,5/1/2018,7/24/2018
9003758,Correctional,Gamma,5/15/2018,7/24/2018
9003796,Correctional,Gamma,6/15/2018,7/25/2018
9003840,Correctional,Epsilon,7/16/2018,7/25/2018
9003161,Correctional,Beta,10/1/2016,7/28/2018
9003716,Correctional,Delta,4/16/2018,7/30/2018
9001200,Correctional,Beta,1/12/2011,7/31/2018
9001264,Educator,Beta,2/1/1991,7/31/2018
9001333,Program Specialist,Administrative Offices,1/12/2011,7/31/2018
9001639,Correctional,Alpha,1/12/2011,7/31/2018
9001729,Educator,Beta,1/12/2011,7/31/2018
9001938,Clerk,Epsilon,4/1/2008,7/31/2018
9001975,Clerk,Beta,1/12/2011,7/31/2018
9002178,Correctional,Halfway House,3/1/2011,7/31/2018
9002258,Correctional,Halfway House,3/1/2012,7/31/2018
9002427,Correctional,Beta,6/17/2013,7/31/2018
9002720,Correctional Supervisor,Beta,2/17/2015,7/31/2018
9002927,Correctional,Alpha,12/1/2015,7/31/2018
9002990,Educator,Gamma,3/1/2016,7/31/2018
9003013,Correctional,Epsilon,4/1/2016,7/31/2018
9003096,Correctional,Delta,8/1/2016,7/31/2018
9003220,Correctional,Gamma,1/1/2017,7/31/2018
9003368,Correctional,Alpha,8/1/2017,7/31/2018
9003418,Correctional,Alpha,9/15/2017,7/31/2018
9003752,Correctional,Epsilon,5/15/2018,7/31/2018
9003802,Correctional,Delta,6/15/2018,7/31/2018
9002593,Educator,Gamma,8/1/2014,8/1/2018
9003657,Correctional,Gamma,3/1/2018,8/2/2018
9003072,Educator,Delta,6/15/2016,8/3/2018
9003726,Correctional,Epsilon,5/1/2018,8/3/2018
9003794,Other,Alpha,6/15/2018,8/3/2018
9003636,Correctional,Epsilon,3/1/2018,8/4/2018
9002754,Admin Assistant,Epsilon,4/1/2015,8/5/2018
9003543,Correctional,Alpha,12/1/2017,8/5/2018
9001835,Correctional,Halfway House,1/12/2011,8/6/2018
9003378,Educator,Delta,8/15/2017,8/6/2018
9003756,Correctional,Beta,5/15/2018,8/6/2018
9002117,Correctional,Epsilon,5/15/2018,8/7/2018
9002942,Educator,Epsilon,1/1/2016,8/8/2018
9003860,Correctional,,8/1/2018,8/8/2018
9002912,Correctional,Halfway House,12/1/2015,8/9/2018
9002768,Correctional,Delta,5/1/2015,8/10/2018
9002950,Case Manager,Beta,1/1/2016,8/10/2018
9003566,Correctional,Beta,1/1/2018,8/10/2018
9003851,Correctional,Gamma,7/16/2018,8/10/2018
9001279,Correctional Supervisor,Epsilon,5/15/2018,8/12/2018
9003611,Correctional,Epsilon,2/1/2018,8/13/2018
9002319,Educator,Gamma,8/1/2012,8/14/2018
9002706,Other,Gamma,1/15/2015,8/14/2018
9003680,Correctional,Beta,4/1/2018,8/14/2018
9001170,Correctional,Epsilon,6/1/2017,8/15/2018
9001974,Correctional,Epsilon,6/1/2018,8/15/2018
9001995,Correctional,Alpha,1/12/2011,8/15/2018
9002404,Correctional,Beta,3/15/2013,8/15/2018
9002551,Correctional,Delta,4/1/2018,8/15/2018
9003237,Correctional,Alpha,2/1/2017,8/16/2018
9003777,Correctional,Epsilon,6/1/2018,8/16/2018
9003570,Correctional,Beta,1/1/2018,8/17/2018
9003643,Correctional,Alpha,3/1/2018,8/17/2018
9003329,Correctional,Epsilon,6/15/2017,8/19/2018
9003676,Investigator,Administrative Offices,4/1/2018,8/20/2018
9002144,Correctional,Alpha,1/1/2018,8/21/2018
9003581,Correctional,Beta,1/1/2018,8/22/2018
9003403,Program Specialist,Epsilon,9/1/2017,8/23/2018
9003415,Program Specialist,Administrative Offices,9/15/2017,8/23/2018
9003790,Other,Halfway House,6/15/2018,8/25/2018
9003567,Correctional,Beta,1/1/2018,8/26/2018
9001081,Program Specialist,Administrative Offices,10/15/2014,8/27/2018
9002831,IT,Delta,8/17/2015,8/27/2018
9003463,Educator,Epsilon,10/16/2017,8/28/2018
9002460,Correctional,Beta,9/1/2013,8/29/2018
9003666,Correctional Supervisor,Halfway House,3/15/2018,8/30/2018
9001053,Correctional,Epsilon,1/12/2011,8/31/2018
9001069,Other,Alpha,1/12/2011,8/31/2018
9001103,Director,Administrative Offices,1/12/2011,8/31/2018
9001140,Admin Assistant,Alpha,1/12/2011,8/31/2018
9001142,IT,Gamma,1/12/2011,8/31/2018
9001181,Other,Alpha,1/12/2011,8/31/2018
9001217,Clerk,Gamma,1/12/2011,8/31/2018
9001283,Program Specialist,Epsilon,1/12/2011,8/31/2018
9001297,Program Specialist,Beta,1/12/2011,8/31/2018
9001316,Accountant,Administrative Offices,7/1/2014,8/31/2018
9001329,Parole,Parole Region,1/12/2011,8/31/2018
9001404,Manager,Epsilon,1/12/2011,8/31/2018
9001430,Other,Gamma,1/12/2011,8/31/2018
9001471,Admin Assistant,Epsilon,1/12/2011,8/31/2018
9001541,Correctional,Beta,1/12/2011,8/31/2018
9001600,Educator,Epsilon,1/12/2011,8/31/2018
9001674,Program Specialist,Beta,1/12/2011,8/31/2018
9002233,Director,Administrative Offices,1/12/2011,8/31/2018
9002274,Correctional,Alpha,4/1/2012,8/31/2018
9002645,Facility Leadership,Halfway House,10/15/2014,8/31/2018
9002682,Correctional,Beta,12/1/2014,8/31/2018
9002996,Correctional,Beta,3/1/2016,8/31/2018
9003203,Correctional Supervisor,Alpha,12/1/2016,8/31/2018
9003360,Correctional,Alpha,8/1/2017,8/31/2018
9003402,Program Specialist,Epsilon,9/1/2017,8/31/2018
9003441,Correctional,Beta,10/1/2017,8/31/2018
9003484,Other,Delta,11/1/2017,8/31/2018
9003604,Correctional,Beta,2/1/2018,8/31/2018
9003625,Correctional,Delta,2/15/2018,8/31/2018
9003806,Investigator,Inspector General,7/1/2018,8/31/2018
9003775,Correctional,Epsilon,6/1/2018,9/3/2018
9003654,Correctional,Delta,3/1/2018,9/4/2018
9003376,Correctional,Epsilon,8/15/2017,9/5/2018
9003870,Correctional,,8/1/2018,9/5/2018
9003073,Correctional,Beta,6/15/2016,9/6/2018
9001396,Correctional,Delta,4/16/2012,9/7/2018
9002322,Correctional,Alpha,6/1/2018,9/8/2018
9003555,Case Manager,Alpha,12/15/2017,9/10/2018
9003744,Correctional,Delta,5/15/2018,9/10/2018
9003747,Correctional,Delta,5/15/2018,9/10/2018
9003871,Correctional,,8/1/2018,9/11/2018
9003288,Correctional Supervisor,Delta,4/1/2017,9/12/2018
9003616,Correctional,Epsilon,2/1/2018,9/12/2018
9003679,Correctional,Beta,4/1/2018,9/12/2018
9003622,Correctional,Beta,2/15/2018,9/13/2018
9003835,Correctional,Gamma,7/16/2018,9/14/2018
9003842,Correctional,Beta,7/16/2018,9/16/2018
9002414,Other,Delta,4/15/2013,9/17/2018
9002512,Other,Alpha,2/1/2014,9/18/2018
9003078,Correctional,Delta,7/1/2016,9/18/2018
9001037,Correctional,,9/1/2018,9/19/2018
9001686,Correctional,Delta,1/12/2011,9/19/2018
9003500,Correctional,Alpha,11/1/2017,9/19/2018
9003101,Correctional,Delta,8/1/2016,9/21/2018
9003228,Investigator,Beta,1/1/2017,9/21/2018
9003731,Correctional,Alpha,5/1/2018,9/21/2018
9003692,Correctional,Epsilon,4/1/2018,9/23/2018
9003771,Correctional,Gamma,6/1/2018,9/24/2018
9001885,Case Manager,Epsilon,1/12/2011,9/25/2018
9002186,Correctional,Epsilon,1/12/2011,9/26/2018
9003178,Correctional,Epsilon,11/1/2016,9/26/2018
9001474,Other,Beta,10/1/2016,9/27/2018
9003524,Correctional,Delta,11/15/2017,9/28/2018
9003901,Correctional,,9/1/2018,9/28/2018
9002406,Correctional Supervisor,Epsilon,3/1/2015,9/29/2018
9001335,Other,Administrative Offices,9/15/2016,9/30/2018
9001553,Correctional,Gamma,1/12/2011,9/30/2018
9001970,Clerk,Beta,1/12/2011,9/30/2018
9002552,Correctional,Beta,5/15/2014,9/30/2018
9002650,Correctional,Beta,11/1/2014,9/30/2018
9002779,Correctional,Gamma,6/1/2015,9/30/2018
9003025,Correctional,Gamma,4/1/2016,9/30/2018
9003180,Correctional,Gamma,11/1/2016,9/30/2018
9003409,Correctional,Beta,9/1/2017,9/30/2018
9003502,Correctional,Alpha,11/1/2017,9/30/2018
9003805,Correctional,Epsilon,6/15/2018,9/30/2018
9003869,Correctional,,8/1/2018,9/30/2018
9003885,Correctional,,8/15/2018,9/30/2018
9001627,Director,Administrative Offices,11/15/2012,10/1/2018
9002958,Program Specialist,Administrative Offices,2/1/2016,10/1/2018
9003781,Case Manager,Delta,6/1/2018,10/1/2018
9001054,Manager,Administrative Offices,1/12/2011,10/2/2018
9001488,Program Specialist,Delta,1/12/2011,10/2/2018
9001706,Correctional,Delta,1/12/2011,10/3/2018
9003545,Correctional,Alpha,12/1/2017,10/3/2018
9003703,Clerk,Delta,4/1/2018,10/3/2018
9003818,Correctional,Alpha,7/1/2018,10/4/2018
9003553,Correctional,Epsilon,12/15/2017,10/5/2018
9002663,Educator,Epsilon,11/1/2014,10/7/2018
9003881,Correctional,,8/15/2018,10/8/2018
9003369,Correctional,Alpha,8/1/2017,10/9/2018
9003843,Correctional,Epsilon,7/16/2018,10/9/2018
9002202,Case Manager,Halfway House,1/12/2011,10/10/2018
9003729,Correctional,Delta,5/1/2018,10/10/2018
9003827,Case Manager,Halfway House,7/1/2018,10/10/2018
9002785,Correctional,Delta,6/1/2015,10/11/2018
9003117,Correctional,Halfway House,9/1/2016,10/11/2018
9003682,Correctional,Gamma,4/1/2018,10/12/2018
9003723,Correctional,Epsilon,5/1/2018,10/14/2018
9001987,Correctional Supervisor,Gamma,1/1/2012,10/15/2018
9002464,Treatment,Gamma,9/1/2013,10/15/2018
9003627,Correctional,Delta,2/15/2018,10/15/2018
9002607,Program Specialist,Epsilon,8/15/2014,10/16/2018
9003346,Parole,Parole Region,7/17/2017,10/16/2018
9002962,Correctional Supervisor,Halfway House,2/1/2016,10/17/2018
9003829,Correctional,Beta,7/1/2018,10/17/2018
9002808,Treatment,Gamma,7/15/2015,10/18/2018
9003812,Case Manager,Alpha,7/1/2018,10/19/2018
9003814,Correctional,Alpha,7/1/2018,10/20/2018
9002655,Correctional,Epsilon,11/1/2014,10/21/2018
9001664,Correctional,Epsilon,6/15/2018,10/23/2018
9002786,Other,Gamma,6/1/2015,10/23/2018
9003412,Correctional,Beta,9/1/2017,10/23/2018
9003576,Correctional,Delta,1/1/2018,10/24/2018
9003755,Correctional,Beta,5/15/2018,10/24/2018
9003076,Correctional,Beta,7/1/2016,10/25/2018
9001855,Program Specialist,Parole Region,2/17/2015,10/26/2018
9003370,Correctional,Beta,8/15/2017,10/27/2018
9003837,Correctional,Epsilon,7/16/2018,10/29/2018
9001074,Clerk,Gamma,1/12/2011,10/31/2018
9001080,Correctional Supervisor,Beta,1/12/2011,10/31/2018
9001207,Facility Leadership,Beta,1/12/2011,10/31/2018
9001314,Correctional,Epsilon,8/15/2014,10/31/2018
9001337,Attorney,Administrative Offices,1/12/2011,10/31/2018
9001341,Correctional,Gamma,1/12/2011,10/31/2018
9001354,Educator,Epsilon,12/1/2017,10/31/2018
9001459,Correctional,Beta,1/12/2011,10/31/2018
9001520,Correctional,Delta,12/15/2011,10/31/2018
9001570,Admin Assistant,Gamma,1/12/2011,10/31/2018
9001672,Correctional Supervisor,Delta,1/12/2011,10/31/2018
9001903,Program Specialist,Beta,1/12/2011,10/31/2018
9002067,Investigator,Gamma,9/15/2014,10/31/2018
9002628,Program Specialist,Epsilon,9/15/2014,10/31/2018
9003211,Director,Administrative Offices,1/1/2017,10/31/2018
9003310,Correctional,Halfway House,5/1/2017,10/31/2018
9003326,Educator,Alpha,6/15/2017,10/31/2018
9003395,Admin Assistant,Epsilon,9/1/2017,10/31/2018
9002180,Case Manager,Epsilon,1/12/2011,11/2/2018
9003432,Program Specialist,Delta,10/1/2017,11/2/2018
9001609,Analyst,Administrative Offices,11/16/2015,11/4/2018
9002544,Program Specialist,Halfway House,5/15/2014,11/4/2018
9003336,Correctional,Delta,7/1/2017,11/4/2018
9002492,Treatment,Beta,12/16/2013,11/5/2018
9002926,Correctional,Delta,12/1/2015,11/5/2018
9001563,Educator,Delta,12/1/2014,11/7/2018
9003773,Correctional,Inspector General,6/1/2018,11/8/2018
9003465,Educator,Delta,10/16/2017,11/9/2018
9002142,Other,Gamma,1/12/2011,11/11/2018
9003257,Correctional,Gamma,3/1/2017,11/11/2018
9003910,Correctional,Alpha,9/1/2018,11/11/2018
9003174,Correctional,Beta,11/1/2016,11/13/2018
9001764,Educator,Alpha,11/1/2016,11/14/2018
9001886,Program Specialist,Administrative Offices,1/12/2011,11/14/2018
9002005,Correctional,Epsilon,6/1/2015,11/14/2018
9003944,Correctional,Gamma,10/1/2018,11/14/2018
9003922,Correctional,Inspector General,9/17/2018,11/16/2018
9003820,Correctional,Alpha,7/1/2018,11/17/2018
9003651,Correctional,Beta,3/1/2018,11/19/2018
9003655,Correctional,Beta,3/1/2018,11/19/2018
9002326,Program Specialist,Halfway House,7/1/2017,11/21/2018
9003488,Educator,Beta,11/1/2017,11/21/2018
9001714,Correctional,Beta,1/16/2018,11/25/2018
9003905,Educator,Alpha,9/1/2018,11/26/2018
9002940,Correctional,Epsilon,5/15/2018,11/28/2018
9003981,Correctional,Gamma,11/1/2018,11/28/2018
9001125,Educator,Delta,1/12/2011,11/30/2018
9001472,Correctional,Epsilon,1/12/2011,11/30/2018
9001591,Case Manager,Beta,1/12/2011,11/30/2018
9001682,Manager,Administrative Offices,1/12/2011,11/30/2018
9001863,Director,Administrative Offices,1/1/2015,11/30/2018
9001881,Correctional,Epsilon,1/12/2011,11/30/2018
9002361,Correctional,Epsilon,11/1/2012,11/30/2018
9002381,Correctional,Delta,9/1/2016,11/30/2018
9002407,Admin Assistant,Administrative Offices,4/1/2013,11/30/2018
9002477,Educator,Epsilon,11/1/2015,11/30/2018
9002615,Educator,Alpha,8/15/2014,11/30/2018
9002621,Correctional,Alpha,9/1/2014,11/30/2018
9002684,Correctional Supervisor,Gamma,12/1/2014,11/30/2018
9002827,Correctional,Gamma,8/1/2015,11/30/2018
9003158,Other,Epsilon,10/1/2016,11/30/2018
9003504,Correctional,Alpha,11/1/2017,11/30/2018
9003585,Clerk,Epsilon,1/1/2018,11/30/2018
9003670,Correctional,Epsilon,3/15/2018,11/30/2018
9003976,Correctional,Beta,11/1/2018,11/30/2018
9001796,Correctional,Epsilon,1/12/2011,12/3/2018
9001108,Correctional,Epsilon,11/1/2018,12/5/2018
9001767,Correctional,Epsilon,8/15/2017,12/5/2018
9003599,Correctional,Alpha,2/1/2018,12/5/2018
9003923,Correctional,Epsilon,9/17/2018,12/5/2018
9003934,Correctional,Delta,10/1/2018,12/5/2018
9002282,Correctional,Beta,5/1/2012,12/6/2018
9003634,Other,Epsilon,3/1/2018,12/6/2018
9003006,Correctional,Beta,4/1/2016,12/7/2018
9003894,Correctional,Alpha,8/15/2018,12/8/2018
9003548,Correctional,Beta,12/1/2017,12/12/2018
9003935,Correctional,Epsilon,10/1/2018,12/12/2018
9001202,Program Specialist,Delta,1/12/2011,12/13/2018
9002830,Correctional,Alpha,6/1/2018,12/13/2018
9003845,Correctional,Beta,7/16/2018,12/13/2018
9001824,Correctional,Epsilon,10/1/2018,12/14/2018
9003234,Correctional,Beta,2/1/2018,12/14/2018
9003471,Program Specialist,Administrative Offices,11/1/2017,12/14/2018
9003736,Correctional,Gamma,5/1/2018,12/14/2018
9003969,Correctional,Delta,11/1/2018,12/19/2018
9002741,Correctional,Gamma,3/16/2015,12/21/2018
9003302,Case Manager,Gamma,5/1/2017,12/21/2018
9003940,Correctional,Epsilon,10/1/2018,12/23/2018
9003933,Correctional,Beta,10/1/2018,12/27/2018
9003912,Case Manager,Epsilon,9/1/2018,12/28/2018
9003061,Correctional,Gamma,6/1/2016,12/30/2018
9001004,Program Specialist,Parole Region,1/12/2011,12/31/2018
9001114,Director,Administrative Offices,1/12/2011,12/31/2018
9001152,Educator,Beta,6/15/2016,12/31/2018
9001317,Admin Assistant,Administrative Offices,1/12/2011,12/31/2018
9001460,IT,Administrative Offices,1/12/2011,12/31/2018
9001569,Director,Administrative Offices,1/12/2011,12/31/2018
9001657,Accountant,Administrative Offices,1/12/2011,12/31/2018
9001701,Correctional,Beta,1/12/2011,12/31/2018
9001897,Director,Administrative Offices,7/16/2012,12/31/2018
9001914,Correctional,Halfway House,1/12/2011,12/31/2018
9001966,Director,Administrative Offices,1/12/2011,12/31/2018
9002293,IT,Administrative Offices,6/1/2012,12/31/2018
9002346,Correctional,Alpha,10/1/2012,12/31/2018
9002417,Case Manager,Epsilon,5/1/2013,12/31/2018
9002591,Educator,Administrative Offices,8/1/2014,12/31/2018
9002780,Case Manager,Gamma,6/1/2015,12/31/2018
9002900,Correctional,Beta,11/1/2015,12/31/2018
9002975,Educator,Delta,2/16/2016,12/31/2018
9003173,Correctional,Beta,11/1/2016,12/31/2018
9003270,Correctional,Epsilon,4/1/2017,12/31/2018
9003333,Correctional Supervisor,Gamma,7/1/2017,12/31/2018
9003515,Educator,Delta,11/15/2017,12/31/2018
9003696,Educator,Beta,4/1/2018,12/31/2018
9003700,Correctional,Alpha,4/1/2018,12/31/2018
9003708,Auditor,Administrative Offices,4/16/2018,12/31/2018
9003712,Educator,Epsilon,4/16/2018,12/31/2018
9003867,Correctional,Gamma,8/1/2018,12/31/2018
9003998,Correctional,Alpha,12/1/2018,1/2/2019
9003985,Other,Alpha,11/15/2018,1/3/2019
9001977,Correctional Supervisor,Gamma,10/1/2018,1/4/2019
9002553,Program Specialist,Beta,5/15/2014,1/4/2019
9002739,Correctional Supervisor,Delta,3/16/2015,1/6/2019
9003943,Correctional,Halfway House,10/1/2018,1/9/2019
9001599,Correctional,Beta,1/12/2011,1/11/2019
9003776,Correctional,Beta,6/1/2018,1/11/2019
